alg,n,proc,threads,primes,time
0,25,0,0,2063689,0.243699
0,26,0,0,3957809,0.574264
0,27,0,0,7603553,1.14165
0,28,0,0,14630843,2.38734
0,29,0,0,28192750,5.02649
0,30,0,0,54400028,10.3783
0,31,0,0,105097565,21.5711
0,32,0,0,203280221,44.8224
1,25,0,0,2063689,0.202659
1,26,0,0,3957809,0.449881
1,27,0,0,7603553,0.988064
1,28,0,0,14630843,2.42263
1,29,0,0,28192750,4.26076
1,30,0,0,54400028,8.59111
1,31,0,0,105097565,17.7506
1,32,0,0,203280221,36.4823
1,25,0,1,2063689,0.240125
1,26,0,1,3957809,0.535792
1,27,0,1,7603553,1.15061
1,28,0,1,14630843,2.3877
1,29,0,1,28192750,5.04444
1,30,0,1,54400028,10.478
1,31,0,1,105097565,21.5588
1,32,0,1,203280221,44.8584
1,25,0,2,2063689,0.195414
1,26,0,2,3957809,0.435054
1,27,0,2,7603553,0.941718
1,28,0,2,14630843,1.96556
1,29,0,2,28192750,4.13472
1,30,0,2,54400028,8.55793
1,31,0,2,105097565,17.5867
1,32,0,2,203280221,36.4009
1,25,0,3,2063689,0.190868
1,26,0,3,3957809,0.429054
1,27,0,3,7603553,0.923563
1,28,0,3,14630843,1.9334
1,29,0,3,28192750,4.02033
1,30,0,3,54400028,8.3483
1,31,0,3,105097565,17.2422
1,32,0,3,203280221,35.5124
1,25,0,4,2063689,0.194113
1,26,0,4,3957809,0.430177
1,27,0,4,7603553,0.919192
1,28,0,4,14630843,2.01611
1,29,0,4,28192750,4.04636
1,30,0,4,54400028,8.36894
1,31,0,4,105097565,17.2541
1,32,0,4,203280221,35.939
1,25,0,5,2063689,0.193679
1,26,0,5,3957809,0.45713
1,27,0,5,7603553,0.955037
1,28,0,5,14630843,2.05861
1,29,0,5,28192750,4.29993
1,30,0,5,54400028,8.75604
1,31,0,5,105097565,18.1592
1,32,0,5,203280221,37.6598
1,25,0,6,2063689,0.206081
1,26,0,6,3957809,0.447554
1,27,0,6,7603553,0.948642
1,28,0,6,14630843,2.01536
1,29,0,6,28192750,4.16917
1,30,0,6,54400028,8.58441
1,31,0,6,105097565,17.6816
1,32,0,6,203280221,36.5444
1,25,0,7,2063689,0.199359
1,26,0,7,3957809,0.446987
1,27,0,7,7603553,0.961887
1,28,0,7,14630843,2.0039
1,29,0,7,28192750,4.14905
1,30,0,7,54400028,8.54725
1,31,0,7,105097565,17.6566
1,32,0,7,203280221,36.2764
1,25,0,8,2063689,0.209521
1,26,0,8,3957809,0.456578
1,27,0,8,7603553,0.982506
1,28,0,8,14630843,2.03072
1,29,0,8,28192750,4.20663
1,30,0,8,54400028,8.61421
1,31,0,8,105097565,17.7471
1,32,0,8,203280221,36.4666
2,25,1,0,2063689,0.243141
2,26,1,0,3957809,0.529097
2,27,1,0,7603553,1.13994
2,28,1,0,14630843,2.40678
2,29,1,0,28192750,4.98047
2,30,1,0,54400028,10.4718
2,31,1,0,105097565,21.7686
2,32,1,0,203280221,44.9217
2,25,2,0,2063689,0.195418
2,26,2,0,3957809,0.433487
2,27,2,0,7603553,0.918962
2,28,2,0,14630843,1.94573
2,29,2,0,28192750,4.03393
2,30,2,0,54400028,8.36532
2,31,2,0,105097565,17.2495
2,32,2,0,203280221,35.4125
2,25,3,0,2063689,0.196706
2,26,3,0,3957809,0.478281
2,27,3,0,7603553,0.894376
2,28,3,0,14630843,1.894
2,29,3,0,28192750,3.88571
2,30,3,0,54400028,8.07868
2,31,3,0,105097565,16.7878
2,32,3,0,203280221,34.4844
2,25,4,0,2063689,0.212694
2,26,4,0,3957809,0.445802
2,27,4,0,7603553,0.944168
2,28,4,0,14630843,2.02585
2,29,4,0,28192750,3.88184
2,30,4,0,54400028,8.50961
2,31,4,0,105097565,17.5202
2,32,4,0,203280221,35.251
2,25,5,0,2063689,0.152211
2,26,5,0,3957809,0.338584
2,27,5,0,7603553,0.700289
2,28,5,0,14630843,1.48847
2,29,5,0,28192750,3.06647
2,30,5,0,54400028,6.61717
2,31,5,0,105097565,13.1971
2,32,5,0,203280221,27.5802
2,25,6,0,2063689,0.134059
2,26,6,0,3957809,0.293411
2,27,6,0,7603553,0.628721
2,28,6,0,14630843,1.32862
2,29,6,0,28192750,2.56641
2,30,6,0,54400028,5.32416
2,31,6,0,105097565,11.1203
2,32,6,0,203280221,23.4647
2,25,7,0,2063689,0.0907744
2,26,7,0,3957809,0.254673
2,27,7,0,7603553,0.54445
2,28,7,0,14630843,1.06834
2,29,7,0,28192750,2.39114
2,30,7,0,54400028,4.65927
2,31,7,0,105097565,10.0765
2,32,7,0,203280221,19.5679
2,25,8,0,2063689,0.0963577
2,26,8,0,3957809,0.203029
2,27,8,0,7603553,0.48914
2,28,8,0,14630843,1.02315
2,29,8,0,28192750,2.14916
2,30,8,0,54400028,4.50133
2,31,8,0,105097565,8.96198
2,32,8,0,203280221,18.8377
2,25,9,0,2063689,0.0809106
2,26,9,0,3957809,0.180294
2,27,9,0,7603553,0.430265
2,28,9,0,14630843,0.920495
2,29,9,0,28192750,1.85921
2,30,9,0,54400028,3.97264
2,31,9,0,105097565,8.0517
2,32,9,0,203280221,16.3874
2,25,10,0,2063689,0.0427227
2,26,10,0,3957809,0.167212
2,27,10,0,7603553,0.372343
2,28,10,0,14630843,0.801297
2,29,10,0,28192750,1.7292
2,30,10,0,54400028,3.46309
2,31,10,0,105097565,6.82985
2,32,10,0,203280221,14.3542
2,25,11,0,2063689,0.0538542
2,26,11,0,3957809,0.137533
2,27,11,0,7603553,0.330061
2,28,11,0,14630843,0.720155
2,29,11,0,28192750,1.53484
2,30,11,0,54400028,3.18132
2,31,11,0,105097565,6.22791
2,32,11,0,203280221,13.7787
2,25,12,0,2063689,0.0405965
2,26,12,0,3957809,0.140352
2,27,12,0,7603553,0.311928
2,28,12,0,14630843,0.687358
2,29,12,0,28192750,1.45945
2,30,12,0,54400028,2.9828
2,31,12,0,105097565,6.19776
2,32,12,0,203280221,11.8077
2,25,13,0,2063689,0.0304181
2,26,13,0,3957809,0.137276
2,27,13,0,7603553,0.322937
2,28,13,0,14630843,0.62755
2,29,13,0,28192750,1.31668
2,30,13,0,54400028,2.72954
2,31,13,0,105097565,5.66069
2,32,13,0,203280221,11.1125
2,25,14,0,2063689,0.0398696
2,26,14,0,3957809,0.127328
2,27,14,0,7603553,0.28345
2,28,14,0,14630843,0.614332
2,29,14,0,28192750,1.27772
2,30,14,0,54400028,2.56634
2,31,14,0,105097565,5.31529
2,32,14,0,203280221,10.1195
2,25,15,0,2063689,0.0638307
2,26,15,0,3957809,0.111888
2,27,15,0,7603553,0.242092
2,28,15,0,14630843,0.534904
2,29,15,0,28192750,1.18651
2,30,15,0,54400028,2.39705
2,31,15,0,105097565,4.88504
2,32,15,0,203280221,10.0563
2,25,16,0,2063689,0.0462117
2,26,16,0,3957809,0.104353
2,27,16,0,7603553,0.218582
2,28,16,0,14630843,0.511932
2,29,16,0,28192750,1.08399
2,30,16,0,54400028,2.27099
2,31,16,0,105097565,4.57887
2,32,16,0,203280221,9.32032
3,25,4,1,2063689,0.0340567
3,26,4,1,3957809,0.11203
3,27,4,1,7603553,0.289082
3,28,4,1,14630843,0.637292
3,29,4,1,28192750,1.3164
3,30,4,1,54400028,2.80474
3,31,4,1,105097565,5.65913
3,32,4,1,203280221,11.7573
3,25,4,2,2063689,0.0218893
3,26,4,2,3957809,0.0940826
3,27,4,2,7603553,0.23471
3,28,4,2,14630843,0.509807
3,29,4,2,28192750,1.07518
3,30,4,2,54400028,2.23679
3,31,4,2,105097565,4.6214
3,32,4,2,203280221,9.44953
3,25,4,3,2063689,0.0177948
3,26,4,3,3957809,0.0884688
3,27,4,3,7603553,0.225509
3,28,4,3,14630843,0.501557
3,29,4,3,28192750,1.05312
3,30,4,3,54400028,2.19024
3,31,4,3,105097565,4.52789
3,32,4,3,203280221,9.2806
3,25,4,4,2063689,0.0171241
3,26,4,4,3957809,0.0979698
3,27,4,4,7603553,0.230129
3,28,4,4,14630843,0.501148
3,29,4,4,28192750,1.05477
3,30,4,4,54400028,2.30436
3,31,4,4,105097565,4.51553
3,32,4,4,203280221,9.92527
3,25,4,5,2063689,0.0198935
3,26,4,5,3957809,0.102182
3,27,4,5,7603553,0.243224
3,28,4,5,14630843,0.531902
3,29,4,5,28192750,1.11372
3,30,4,5,54400028,2.30471
3,31,4,5,105097565,4.77236
3,32,4,5,203280221,9.76654
3,25,4,6,2063689,0.0182176
3,26,4,6,3957809,0.0976105
3,27,4,6,7603553,0.243821
3,28,4,6,14630843,0.517743
3,29,4,6,28192750,1.08514
3,30,4,6,54400028,2.24955
3,31,4,6,105097565,4.6668
3,32,4,6,203280221,9.5002
3,25,4,7,2063689,0.0265132
3,26,4,7,3957809,0.107549
3,27,4,7,7603553,0.23906
3,28,4,7,14630843,0.577471
3,29,4,7,28192750,1.09128
3,30,4,7,54400028,2.249
3,31,4,7,105097565,4.69722
3,32,4,7,203280221,9.61039
3,25,4,8,2063689,0.0294754
3,26,4,8,3957809,0.116713
3,27,4,8,7603553,0.288042
3,28,4,8,14630843,0.567593
3,29,4,8,28192750,1.18018
3,30,4,8,54400028,2.54024
3,31,4,8,105097565,5.00726
3,32,4,8,203280221,9.80313
3,25,8,1,2063689,0.0595274
3,26,8,1,3957809,0.0843343
3,27,8,1,7603553,0.245212
3,28,8,1,14630843,0.517238
3,29,8,1,28192750,1.0383
3,30,8,1,54400028,2.16776
3,31,8,1,105097565,4.58741
3,32,8,1,203280221,9.37354
3,25,8,2,2063689,0.0592699
3,26,8,2,3957809,0.0935414
3,27,8,2,7603553,0.250296
3,28,8,2,14630843,0.499373
3,29,8,2,28192750,1.03254
3,30,8,2,54400028,2.22489
3,31,8,2,105097565,4.46449
3,32,8,2,203280221,9.12194
3,25,8,3,2063689,0.0418222
3,26,8,3,3957809,0.0881581
3,27,8,3,7603553,0.223434
3,28,8,3,14630843,0.510026
3,29,8,3,28192750,1.05768
3,30,8,3,54400028,2.17634
3,31,8,3,105097565,4.47182
3,32,8,3,203280221,9.24226
3,25,8,4,2063689,0.0257359
3,26,8,4,3957809,0.108614
3,27,8,4,7603553,0.239058
3,28,8,4,14630843,0.503592
3,29,8,4,28192750,1.23606
3,30,8,4,54400028,2.59871
3,31,8,4,105097565,4.96383
3,32,8,4,203280221,9.2022
3,25,12,1,2063689,0.0225513
3,26,12,1,3957809,0.0990359
3,27,12,1,7603553,0.246652
3,28,12,1,14630843,0.532531
3,29,12,1,28192750,1.05083
3,30,12,1,54400028,2.11497
3,31,12,1,105097565,4.38106
3,32,12,1,203280221,10.1137
3,25,12,2,2063689,0.0469191
3,26,12,2,3957809,0.0941348
3,27,12,2,7603553,0.221709
3,28,12,2,14630843,0.497991
3,29,12,2,28192750,1.15288
3,30,12,2,54400028,2.20633
3,31,12,2,105097565,4.45205
3,32,12,2,203280221,9.77606
3,25,12,3,2063689,0.0296947
3,26,12,3,3957809,0.0756746
3,27,12,3,7603553,0.252799
3,28,12,3,14630843,0.523964
3,29,12,3,28192750,1.12584
3,30,12,3,54400028,2.17425
3,31,12,3,105097565,4.72843
3,32,12,3,203280221,9.50618
3,25,16,1,2063689,0.0512618
3,26,16,1,3957809,0.109615
3,27,16,1,7603553,0.236377
3,28,16,1,14630843,0.524562
3,29,16,1,28192750,1.07915
3,30,16,1,54400028,2.20135
3,31,16,1,105097565,4.55642
3,32,16,1,203280221,9.08246
3,25,16,2,2063689,0.0284076
3,26,16,2,3957809,0.0805632
3,27,16,2,7603553,0.233231
3,28,16,2,14630843,0.498344
3,29,16,2,28192750,1.03632
3,30,16,2,54400028,2.16249
3,31,16,2,105097565,4.48764
3,32,16,2,203280221,9.14606
